dataset_id,study_id,source_file,observation_id,technology,payload_bytes,session_policy,confirmation_mode,energy_j,latency_ms,delivery_success,measurement_boundary,evidence_grade,source_license,source_doi,snr_db
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:0,BLE,24,fresh,confirmed,0.0038525,21.6,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,9.0
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:1,BLE,64,reused,unconfirmed,0.00225,18.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,9.5
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:2,BLE,256,fresh,unconfirmed,0.0048,21.6,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,10.0
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:3,BLE,24,reused,confirmed,0.00240781,18.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,10.5
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:4,BLE,64,fresh,unconfirmed,0.0036,21.6,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,11.0
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:5,BLE,256,reused,unconfirmed,0.003,18.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,9.0
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:6,BLE,24,fresh,confirmed,0.0038525,21.6,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,9.5
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:7,BLE,64,reused,unconfirmed,0.00225,18.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,10.0
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:8,BLE,256,fresh,unconfirmed,0.0048,21.6,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,10.5
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:9,BLE,24,reused,confirmed,0.00240781,18.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,11.0
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:10,BLE,64,fresh,unconfirmed,0.0036,21.6,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,9.0
stackwise_smoke_fixture,smoke_study,generated,smoke:BLE:11,BLE,256,reused,unconfirmed,0.003,18.0,True,full_device_cycle,TEST_ONLY,CC0-test-fixture,,9.5
